date,PM-10
2022-12-08:24,22
2022-12-08:23,22
2022-12-08:22,25
2022-12-08:21,23
2022-12-08:20,20
2022-12-08:19,22
2022-12-08:18,19
2022-12-08:17,20
2022-12-08:16,17
2022-12-08:15,20
2022-12-08:14,31
2022-12-08:13,32
2022-12-08:12,31
2022-12-08:11,38
2022-12-08:10,33
2022-12-08:09,28
2022-12-08:08,26
2022-12-08:07,22
2022-12-08:06,19
2022-12-08:05,26
2022-12-08:04,25
2022-12-08:03,26
2022-12-08:02,25
2022-12-08:01,26
2022-12-07:24,22
2022-12-07:23,25
2022-12-07:22,25
2022-12-07:21,25
2022-12-07:20,25
2022-12-07:19,30
2022-12-07:18,37
2022-12-07:17,44
2022-12-07:16,45
2022-12-07:15,37
2022-12-07:14,34
2022-12-07:13,30
2022-12-07:12,30
2022-12-07:11,33
2022-12-07:10,27
2022-12-07:09,28
2022-12-07:08,32
2022-12-07:07,37
2022-12-07:06,38
2022-12-07:05,33
2022-12-07:04,31
2022-12-07:03,29
2022-12-07:02,24
2022-12-07:01,22
2022-12-06:24,18
2022-12-06:23,19
2022-12-06:22,18
2022-12-06:21,17
2022-12-06:20,19
2022-12-06:19,17
2022-12-06:18,16
2022-12-06:17,18
2022-12-06:16,18
2022-12-06:15,26
2022-12-06:14,37
2022-12-06:13,34
2022-12-06:12,34
2022-12-06:11,33
2022-12-06:10,28
2022-12-06:09,34
2022-12-06:08,30
2022-12-06:07,28
2022-12-06:06,32
2022-12-06:05,30
2022-12-06:04,31
2022-12-06:03,30
2022-12-06:02,28
2022-12-06:01,27
2022-12-05:24,26
2022-12-05:23,28
2022-12-05:22,28
2022-12-05:21,31
2022-12-05:20,25
2022-12-05:19,23
2022-12-05:18,21
2022-12-05:17,16
2022-12-05:16,15
2022-12-05:15,18
2022-12-05:14,23
2022-12-05:13,21
2022-12-05:12,17
2022-12-05:11,19
2022-12-05:10,15
2022-12-05:09,17
2022-12-05:08,22
2022-12-05:07,13
2022-12-05:06,12
2022-12-05:05,14
2022-12-05:04,13
2022-12-05:03,15
2022-12-05:02,18
2022-12-05:01,19
2022-12-04:24,19
2022-12-04:23,19
2022-12-04:22,21
2022-12-04:21,18
2022-12-04:20,17
2022-12-04:19,16
2022-12-04:18,17
2022-12-04:17,17
2022-12-04:16,16
2022-12-04:15,15
2022-12-04:14,11
2022-12-04:13,9
2022-12-04:12,10
2022-12-04:11,14
2022-12-04:10,9
2022-12-04:09,11
2022-12-04:08,9
2022-12-04:07,12
2022-12-04:06,15
2022-12-04:05,14
2022-12-04:04,12
2022-12-04:03,14
2022-12-04:02,24
2022-12-04:01,52
2022-12-03:24,61
2022-12-03:23,59
2022-12-03:22,53
2022-12-03:21,51
2022-12-03:20,50
2022-12-03:19,45
2022-12-03:18,43
2022-12-03:17,44
2022-12-03:16,42
2022-12-03:15,37
2022-12-03:14,36
2022-12-03:13,32
2022-12-03:12,31
2022-12-03:11,28
2022-12-03:10,26
2022-12-03:09,24
2022-12-03:08,21
2022-12-03:07,21
2022-12-03:06,22
2022-12-03:05,24
2022-12-03:04,23
2022-12-03:03,22
2022-12-03:02,26
2022-12-03:01,25
2022-12-02:24,21
2022-12-02:23,24
2022-12-02:22,32
2022-12-02:21,30
2022-12-02:20,27
2022-12-02:19,18
2022-12-02:18,22
2022-12-02:17,24
2022-12-02:16,23
2022-12-02:15,22
2022-12-02:14,29
2022-12-02:13,23
2022-12-02:12,26
2022-12-02:11,26
2022-12-02:10,20
2022-12-02:09,18
2022-12-02:08,18
2022-12-02:07,15
2022-12-02:06,17
2022-12-02:05,15
2022-12-02:04,18
2022-12-02:03,18
2022-12-02:02,19
2022-12-02:01,21
2022-12-01:24,24
2022-12-01:23,22
2022-12-01:22,23
2022-12-01:21,30
2022-12-01:20,33
2022-12-01:19,30
2022-12-01:18,29
2022-12-01:17,29
2022-12-01:16,20
2022-12-01:15,21
2022-12-01:14,23
2022-12-01:13,21
2022-12-01:12,22
2022-12-01:11,25
2022-12-01:10,24
2022-12-01:09,25
2022-12-01:08,21
2022-12-01:07,14
2022-12-01:06,16
2022-12-01:05,15
2022-12-01:04,15
2022-12-01:03,14
2022-12-01:02,12
2022-12-01:01,15
